game,Away,Home,date,season,team,half,time_clock,half_time,ot_time,time_formula,time_setup,minutes,seconds,time_in_game,mu_md,goal_number,goal_type,additional_goals
DetroitMercyNorthwestern,DetroitMercy,Northwestern,2/7/20,2020,Northwestern,1,28:37,30:00,,1:23,1:23,1,23,1.383333333,mu,4,FP,26
CanisiusSyracuse,Canisius,Syracuse,2/7/20,2020,Syracuse,1,17:25,30:00,,12:35,12:35,12,35,12.58333333,,7,A,14
GardnerWebbDuke,GardnerWebb,Duke,2/7/20,2020,Duke,1,14:27,30:00,,15:33,15:33,15,33,15.55,,8,A,14
HowardPresbyterian,Howard,Presbyterian,2/7/20,2020,Presbyterian,1,14:22,30:00,,15:38,15:38,15,38,15.63333333,,6,UA,13
IonaLehigh,Iona,Lehigh,2/7/20,2020,Lehigh,1,11:28,30:00,,18:32,18:32,18,32,18.53333333,,6,UA,10
MercerHighPoint,Mercer,HighPoint,2/7/20,2020,HighPoint,2,26:31,30:00,,33:29,33:29,33,29,33.48333333,,12,A,6
DuquesneOhioState,Duquesne,OhioState,2/7/20,2020,OhioState,2,13:17,30:00,,46:43,46:43,46,43,46.71666667,,10,A,1
EastCarolinaFurman,EastCarolina,Furman,2/7/20,2020,Furman,2,13:06,30:00,,46:54,46:54,46,54,46.9,,12,A,2
StJosephsGeorgetown,StJosephs,Georgetown,2/8/20,2020,Georgetown,1,21:27,30:00,,8:33,8:33,8,33,8.55,,6,UA,13
GeorgeWashingtonTemple,GeorgeWashington,Temple,2/8/20,2020,Temple,1,8:42,30:00,,21:18,21:18,21,18,21.3,,9,A,8
SacredHeartBucknell,SacredHeart,Bucknell,2/8/20,2020,Bucknell,1,7:31,30:00,,22:29,22:29,22,29,22.48333333,,10,A,8
RadfordStFrancis,Radford,StFrancis,2/8/20,2020,Radford,1,6:21,30:00,,23:39,23:39,23,39,23.65,,9,A,6
MarylandGeorgeMason,Maryland,GeorgeMason,2/8/20,2020,Maryland,1,5:03,30:00,,24:57,24:57,24,57,24.95,,7,A,12
UNCJamesMadison,UNC,JamesMadison,2/8/20,2020,UNC,2,29:02,30:00,,30:58,30:58,30,58,30.96666667,,8,A,7
VermontMerrimack,Vermont,Merrimack,2/8/20,2020,Vermont,2,27:59,30:00,,32:01,32:01,32,1,32.01666667,,12,A,7
DavidsonVirginiaTech,Davidson,VirginiaTech,2/8/20,2020,VirginiaTech,2,25:08,30:00,,34:52,34:52,34,52,34.86666667,,11,A,6
MaristColgate,Marist,Colgate,2/8/20,2020,Colgate,2,24:47,30:00,,35:13,35:13,35,13,35.21666667,,10,A,4
CampbellElon,Campbell,Elon,2/8/20,2020,Elon,2,23:37,30:00,,36:23,36:23,36,23,36.38333333,,6,FP,6
StanfordDenver,Stanford,Denver,2/8/20,2020,Denver,2,23:11,30:00,,36:49,36:49,36,49,36.81666667,,14,FP,3
CoastalCarolinaOldDominion,CoastalCarolina,OldDominion,2/8/20,2020,CoastalCarolina,2,22:51,30:00,,37:09,37:09,37,9,37.15,mu,9,UA,3
PennStateTowson,PennState,Towson,2/8/20,2020,PennState,2,21:16,30:00,,38:44,38:44,38,44,38.73333333,,10,UA,2
VillanovaWilliamMary,Villanova,WilliamMary,2/8/20,2020,Villanova,2,20:49,30:00,,39:11,39:11,39,11,39.18333333,,13,FP,3
LIURutgers,LIU,Rutgers,2/8/20,2020,Rutgers,2,18:28,30:00,,41:32,41:32,41,32,41.53333333,,10,FP,5
HolyCrossFairfield,HolyCross,Fairfield,2/8/20,2020,HolyCross,2,15:28,30:00,,44:32,44:32,44,32,44.53333333,,9,UA,1
LibertyOregon,Liberty,Oregon,2/8/20,2020,Oregon,2,14:35,30:00,,45:25,45:25,45,25,45.41666667,,13,UA,7
ArizonaStateUCDavis,ArizonaState,UCDavis,2/8/20,2020,ArizonaState,2,11:58,30:00,,48:02,48:02,48,2,48.03333333,,13,A,3
BostonCollegeUMass,BostonCollege,UMass,2/8/20,2020,Umass,2,7:59,30:00,,52:01,52:01,52,1,52.01666667,,12,A,3
DrexelJohnsHopkins,Drexel,JohnsHopkins,2/8/20,2020,JohnsHopkins,2,6:41,30:00,,53:19,53:19,53,19,53.31666667,,12,A,1
ColoradoFlorida,Colorado,Florida,2/8/20,2020,Florida,2,3:40,30:00,,56:20,56:20,56,20,56.33333333,,11,FP,0
USCHofstra,USC,Hofstra,2/8/20,2020,USC,2,2:01,30:00,,57:59,57:59,57,59,57.98333333,,9,FP,0
VirginiaNavy,Virginia,Navy,2/8/20,2020,Virginia,3,2:14,30:00,3:00,60:46,60:46,60,46,60.76666667,,14,A,0
LaSalleManhattan,LaSalle,Manhattan,2/8/20,2020,Manhattan,3,0:05,30:00,3:00,62:55,62:55,62,55,62.91666667,,12,FP,0
MarquetteNotreDame,Marquette,NotreDame,2/9/20,2020,NotreDame,1,23:55,30:00,,6:05,6:05,6,5,6.083333333,,4,A,14
HowardGardnerWebb,Howard,GardnerWebb,2/9/20,2020,GardnerWebb,1,18:28,30:00,,11:32,11:32,11,32,11.53333333,,4,UA,15
RichmondLongwood,Richmond,Longwood,2/9/20,2020,Richmond,1,18:07,30:00,,11:53,11:53,11,53,11.88333333,,7,UA,13
EastCarolinaPresbyterian,EastCarolina,Presbyterian,2/9/20,2020,EastCarolina,1,6:38,30:00,,23:22,23:22,23,22,23.36666667,,10,UA,9
RobertMorrisOhioState,RobertMorris,OhioState,2/9/20,2020,OhioState,2,22:03,30:00,,37:57,37:57,37,57,37.95,,9,UA,4
LouisvilleCincinatti,Louisville,Cincinatti,2/9/20,2020,Louisville,2,16:52,30:00,,43:08,43:08,43,8,43.13333333,md,12,UA,4
NorthwesternDuke,Northwestern,Duke,2/9/20,2020,Northwestern,2,16:30,30:00,,43:30,43:30,43,30,43.5,,21,UA,3
MichiganJacksonville,Michigan,Jacksonville,2/9/20,2020,Michigan,2,11:40,30:00,,48:20,48:20,48,20,48.33333333,mu,9,FP,1
VanderbiltWagner,Vanderbilt,Wagner,2/9/20,2020,Vanderbilt,2,8:21,30:00,,51:39,51:39,51,39,51.65,,12,A,2
StonyBrookSyracuse,StonyBrook,Syracuse,2/10/20,2020,StonyBrook,2,3:27,30:00,,56:33,56:33,56,33,56.55,,17,FP,0
LehighUMBC,Lehigh,UMBC,2/11/20,2020,Lehigh,2,19:02,30:00,,40:58,40:58,40,58,40.96666667,,12,A,5
MerrimackUNH,Merrimack,UNH,2/11/20,2020,UNH,2,16:37,30:00,,43:23,43:23,43,23,43.38333333,,10,UA,5
MaristArmy,Marist,Army,2/12/20,2020,Army,1,10:02,30:00,,19:58,19:58,19,58,19.96666667,,5,FP,11
BucknellBinghamton,Bucknell,Binghamton,2/12/20,2020,Binghamton,1,4:11,30:00,,25:49,25:49,25,49,25.81666667,,10,UA,6
KentStateOhioState,KentState,OhioState,2/12/20,2020,OhioState,2,29:16,30:00,,30:44,30:44,30,44,30.73333333,,12,UA,10
NavyStJosephs,Navy,StJosephs,2/12/20,2020,Navy,2,29:03,30:00,,30:57,30:57,30,57,30.95,,13,A,6
BostonCollegeBU,BostonCollege,BU,2/12/20,2020,BostonCollege,2,25:41,30:00,,34:19,34:19,34,19,34.31666667,,7,A,9
CentralConnecticutUMassLowell,CentralConnecticut,UMassLowell,2/12/20,2020,UMassLowell,2,24:41,30:00,,35:19,35:19,35,19,35.31666667,,8,UA,6
FairfieldUConn,Fairfield,UConn,2/12/20,2020,Uconn,2,18:31,30:00,,41:29,41:29,41,29,41.48333333,,13,A,6
VCUOldDominion,VCU,OldDominion,2/12/20,2020,OldDominion,2,18:04,30:00,,41:56,41:56,41,56,41.93333333,,14,A,4
QuinnipiacBryant,Quinnipiac,Bryant,2/12/20,2020,Bryant,2,15:36,30:00,,44:24,44:24,44,24,44.4,,13,UA,1
CoastalCarolinaCampbell,CoastalCarolina,Campbell,2/12/20,2020,CoastalCarolina,2,15:07,30:00,,44:53,44:53,44,53,44.88333333,,14,A,0
ManhattanLIU,Manhattan,LIU,2/12/20,2020,LIU,2,12:12,30:00,,47:48,47:48,47,48,47.8,,6,UA,1
CanisiusDuquesne,Canisius,Duquesne,2/12/20,2020,Duquesne,2,12:03,30:00,,47:57,47:57,47,57,47.95,,11,FP,0
RutgersTemple,Rutgers,Temple,2/12/20,2020,Rutgers,2,5:46,30:00,,54:14,54:14,54,14,54.23333333,,12,UA,1
VirginiaTechJamesMadison,VirginiaTech,JamesMadison,2/12/20,2020,JamesMadison,4,0:16,30:00,6:00,65:44,65:44,65,44,65.73333333,,9,A,0
WoffordDuke,Wofford,Duke,2/13/20,2020,Duke,1,24:03,30:00,,5:57,5:57,5,57,5.95,,6,A,14
UNCHighPoint,UNC,HighPoint,2/14/20,2020,UNC,1,24:31,30:00,,5:29,5:29,5,29,5.483333333,,4,A,20
ArizonaStateDetroitMercy,ArizonaState,DetroitMercy,2/14/20,2020,ArizonaState,1,16:33,30:00,,13:27,13:27,13,27,13.45,mu,7,FP,17
MercerGardnerWebb,Mercer,GardnerWebb,2/14/20,2020,Mercer,1,9:58,30:00,,20:02,20:02,20,2,20.03333333,,7,FP,13
StBonaventureHartford,StBonaventure,Hartford,2/14/20,2020,StBonaventure,1,3:53,30:00,,26:07,26:07,26,7,26.11666667,,9,FP,7
CincinnattiMarquette,Cincinnatti,Marquette,2/14/20,2020,Marquette,1,3:33,30:00,,26:27,26:27,26,27,26.45,,7,A,10
NiagaraBU,Niagara,BU,2/14/20,2020,BostonUniversity,2,22:19,30:00,,37:41,37:41,37,41,37.68333333,,13,UA,4
OregonJacksonville,Oregon,Jacksonville,2/14/20,2020,Jacksonville,2,22:04,30:00,,37:56,37:56,37,56,37.93333333,,11,A,6
CalUCDavis,Cal,UCDavis,2/14/20,2020,UCDavis,2,9:37,30:00,,50:23,50:23,50,23,50.38333333,,7,FP,2
NotreDameNorthwestern,NotreDame,Northwestern,2/14/20,2020,NotreDame,2,6:46,30:00,,53:14,53:14,53,14,53.23333333,mu,16,A,1
VirginiaStanford,Virginia,Stanford,2/14/20,2020,Virginia,2,3:15,30:00,,56:45,56:45,56,45,56.75,,12,UA,0
AkronPresbyterian,Akron,Presbyterian,2/14/20,2020,Presbyterian,3,2:30,30:00,3:00,60:30,60:30,60,30,60.5,,10,A,0
BucknellHofstra,Bucknell,Hofstra,2/15/20,2020,Hofstra,1,23:30,30:00,,6:30,6:30,6,30,6.5,,6,UA,12
RichmondRadford,Richmond,Radford,2/15/20,2020,Richmond,1,22:27,30:00,,7:33,7:33,7,33,7.55,,4,A,12
WoffordEastCarolina,Wofford,EastCarolina,2/15/20,2020,EastCarolina,1,18:20,30:00,,11:40,11:40,11,40,11.66666667,,6,UA,14
OhioStateStonyBrook,OhioState,StonyBrook,2/15/20,2020,StonyBrook,1,16:15,30:00,,13:45,13:45,13,45,13.75,,8,FP,12
LafayetteDelawareSt,Lafayette,DelawareSt,2/15/20,2020,Lafayette,1,15:36,30:00,,14:24,14:24,14,24,14.4,,7,FP,11
AlbanySyracuse,Albany,Syracuse,2/15/20,2020,Syracuse,1,15:17,30:00,,14:43,14:43,14,43,14.71666667,,4,A,11
ManhattanDrexel,Manhattan,Drexel,2/15/20,2020,Drexel,1,13:38,30:00,,16:22,16:22,16,22,16.36666667,,9,UA,7
SacredHeartMonmouth,SacredHeart,Monmouth,2/15/20,2020,Monmouth,1,13:11,30:00,,16:49,16:49,16,49,16.81666667,,6,A,5
LibertyVirginiaTech,Liberty,VirginiaTech,2/15/20,2020,VirginiaTech,1,9:14,30:00,,20:46,20:46,20,46,20.76666667,,6,A,14
PennGeorgetown,Penn,Georgetown,2/15/20,2020,Penn,1,6:24,30:00,,23:36,23:36,23,36,23.6,,7,UA,10
DenverLouisville,Denver,Louisville,2/15/20,2020,Denver,1,5:52,30:00,,24:08,24:08,24,8,24.13333333,,7,A,8
KentStateRobertMorris,KentState,RobertMorris,2/15/20,2020,RobertMorris,1,5:21,30:00,,24:39,24:39,24,39,24.65,,8,UA,10
ArmyColumbia,Army,Columbia,2/15/20,2020,Army,1,2:04,30:00,,27:56,27:56,27,56,27.93333333,mu,8,A,8
QuinnipiacWagner,Quinnipiac,Wagner,2/15/20,2020,Wagner,2,29:25,30:00,,30:35,30:35,30,35,30.58333333,,11,A,8
AmericanStFrancis,American,StFrancis,2/15/20,2020,American,2,27:59,30:00,,32:01,32:01,32,1,32.01666667,,13,UA,8
LehighPennState,Lehigh,PennState,2/15/20,2020,PennState,2,26:32,30:00,,33:28,33:28,33,28,33.46666667,,10,A,3
JohnsHopkinsLoyola,JohnsHopkins,Loyola,2/15/20,2020,Loyola,2,24:39,30:00,,35:21,35:21,35,21,35.35,,8,FP,8
WilliamMaryGeorgeMason,WilliamMary,GeorgeMason,2/15/20,2020,GeorgeMason,2,22:06,30:00,,37:54,37:54,37,54,37.9,,12,UA,8
DelawareRutgers,Delaware,Rutgers,2/15/20,2020,Rutgers,2,21:09,30:00,,38:51,38:51,38,51,38.85,,12,UA,1
BrownBryant,Brown,Bryant,2/15/20,2020,Brown,2,18:32,30:00,,41:28,41:28,41,28,41.46666667,,8,FP,4
DartmouthUMass,Dartmouth,UMass,2/15/20,2020,Dartmouth,2,17:00,30:00,,43:00,43:00,43,0,43,,12,FP,3
LaSalleYale,LaSalle,Yale,2/15/20,2020,Yale,2,14:23,30:00,,45:37,45:37,45,37,45.61666667,,13,UA,3
VCUUMBC,VCU,UMBC,2/15/20,2020,UMBC,2,11:09,30:00,,48:51,48:51,48,51,48.85,,8,UA,3
PrincetonTemple,Princeton,Temple,2/15/20,2020,Princeton,2,5:46,30:00,,54:14,54:14,54,14,54.23333333,,15,A,1
FresnoStateFurman,FresnoState,Furman,2/15/20,2020,Furman,2,4:58,30:00,,55:02,55:02,55,2,55.03333333,mu,12,FP,0
VillanovaCornell,Villanova,Cornell,2/15/20,2020,Cornell,2,4:15,30:00,,55:45,55:45,55,45,55.75,,12,UA,1
OldDominionWinthrop,OldDominion,Winthrop,2/15/20,2020,OldDominion,2,3:02,30:00,,56:58,56:58,56,58,56.96666667,,16,A,1
MichiganUSC,Michigan,USC,2/15/20,2020,USC,2,2:40,30:00,,57:20,57:20,57,20,57.33333333,,9,UA,1
